Cidade,CodigoDaCidade,DiaHora_Atual,Data,Regiao,Estado,Pais,Latitude,Longigute,TemperaturaMaxima,TemperaturaMinima,TemperaturaMedia,VaiChover,ChanceDeChuva,CondicaoDoTempo,VelocidadeMaximaDoVento
Aparecida,3502507,2023-03-28 10:28,2023-03-28,Sudeste,São Paulo,Brazil,-22.83,-45.23,26.9,19.0,21.8,sim,81,Moderate rain,3.4
Aparecida,3502507,2023-03-28 10:28,2023-03-29,Sudeste,São Paulo,Brazil,-22.83,-45.23,28.6,15.8,20.5,sim,88,Moderate rain,3.8
Aparecida,3502507,2023-03-28 10:28,2023-03-30,Sudeste,São Paulo,Brazil,-22.83,-45.23,29.4,15.0,20.3,sim,88,Heavy rain,4.0
Aparecida,3502507,2023-03-28 10:28,2023-03-31,Sudeste,São Paulo,Brazil,-22.83,-45.23,28.9,13.4,19.6,sim,89,Moderate rain,4.0
Aparecida,3502507,2023-03-28 10:28,2023-04-01,Sudeste,São Paulo,Brazil,-22.83,-45.23,29.2,13.8,20.0,sim,79,Moderate rain,3.4
Aparecida,3502507,2023-03-28 10:28,2023-04-02,Sudeste,São Paulo,Brazil,-22.83,-45.23,21.1,16.1,18.4,sim,85,Moderate rain,6.5
Arapei,3503158,2023-03-28 10:28,2023-03-28,Sudeste,São Paulo,Brazil,-22.68,-44.45,23.3,15.8,20.0,sim,96,Heavy rain,5.8
Arapei,3503158,2023-03-28 10:28,2023-03-29,Sudeste,São Paulo,Brazil,-22.68,-44.45,23.7,16.8,20.8,sim,89,Moderate rain,4.3
Arapei,3503158,2023-03-28 10:28,2023-03-30,Sudeste,São Paulo,Brazil,-22.68,-44.45,27.3,18.5,22.4,sim,88,Heavy rain,3.6
Arapei,3503158,2023-03-28 10:28,2023-03-31,Sudeste,São Paulo,Brazil,-22.68,-44.45,30.1,18.2,22.4,sim,89,Heavy rain,4.0
Arapei,3503158,2023-03-28 10:28,2023-04-01,Sudeste,São Paulo,Brazil,-22.68,-44.45,30.6,17.6,22.4,sim,82,Moderate rain,4.3
Arapei,3503158,2023-03-28 10:28,2023-04-02,Sudeste,São Paulo,Brazil,-22.68,-44.45,22.9,18.5,20.3,sim,82,Heavy rain,4.3
Areias,3503505,2023-03-28 10:28,2023-03-28,Sudeste,São Paulo,Brazil,-1.2,-51.25,27.4,22.5,24.3,sim,85,Heavy rain,5.1
Areias,3503505,2023-03-28 10:28,2023-03-29,Sudeste,São Paulo,Brazil,-1.2,-51.25,28.4,22.4,24.0,sim,90,Heavy rain,3.4
Areias,3503505,2023-03-28 10:28,2023-03-30,Sudeste,São Paulo,Brazil,-1.2,-51.25,28.2,22.2,24.2,sim,86,Moderate rain,3.8
Areias,3503505,2023-03-28 10:28,2023-03-31,Sudeste,São Paulo,Brazil,-1.2,-51.25,29.2,22.3,24.8,sim,89,Moderate rain,5.6
Areias,3503505,2023-03-28 10:28,2023-04-01,Sudeste,São Paulo,Brazil,-1.2,-51.25,27.4,22.1,23.5,sim,79,Heavy rain,5.1
Areias,3503505,2023-03-28 10:28,2023-04-02,Sudeste,São Paulo,Brazil,-1.2,-51.25,26.4,21.6,23.8,sim,87,Heavy rain,4.0
Bananal,3504909,2023-03-28 10:28,2023-03-28,Sudeste,São Paulo,Brazil,-3.99,-43.12,29.7,22.1,24.5,sim,98,Heavy rain,5.1
Bananal,3504909,2023-03-28 10:28,2023-03-29,Sudeste,São Paulo,Brazil,-3.99,-43.12,31.1,22.0,24.5,sim,91,Heavy rain,4.0
Bananal,3504909,2023-03-28 10:28,2023-03-30,Sudeste,São Paulo,Brazil,-3.99,-43.12,30.8,21.9,25.0,sim,88,Heavy rain,5.6
Bananal,3504909,2023-03-28 10:28,2023-03-31,Sudeste,São Paulo,Brazil,-3.99,-43.12,31.5,21.7,25.0,sim,86,Heavy rain,5.8
Bananal,3504909,2023-03-28 10:28,2023-04-01,Sudeste,São Paulo,Brazil,-3.99,-43.12,31.3,22.1,24.6,sim,89,Heavy rain,2.9
Bananal,3504909,2023-03-28 10:28,2023-04-02,Sudeste,São Paulo,Brazil,-3.99,-43.12,28.8,21.7,24.1,sim,88,Heavy rain,2.7
Cacapava,3508504,2023-03-28 10:28,2023-03-28,Sudeste,São Paulo,Brazil,-23.1,-45.72,26.8,17.2,20.7,sim,87,Patchy rain possible,5.8
Cacapava,3508504,2023-03-28 10:28,2023-03-29,Sudeste,São Paulo,Brazil,-23.1,-45.72,29.2,16.2,21.2,sim,88,Heavy rain,4.0
Cacapava,3508504,2023-03-28 10:28,2023-03-30,Sudeste,São Paulo,Brazil,-23.1,-45.72,29.8,17.2,21.5,sim,89,Heavy rain,4.5
Cacapava,3508504,2023-03-28 10:28,2023-03-31,Sudeste,São Paulo,Brazil,-23.1,-45.72,28.3,16.1,21.1,sim,87,Moderate rain,3.1
Cacapava,3508504,2023-03-28 10:28,2023-04-01,Sudeste,São Paulo,Brazil,-23.1,-45.72,29.6,16.1,21.3,sim,88,Moderate rain,7.4
Cacapava,3508504,2023-03-28 10:28,2023-04-02,Sudeste,São Paulo,Brazil,-23.1,-45.72,20.5,16.6,18.2,sim,82,Moderate rain,7.4
Cachoeira Paulista,3508603,2023-03-28 10:28,2023-03-28,Sudeste,São Paulo,Brazil,-22.67,-45.02,27.0,15.9,20.6,sim,96,Moderate rain,4.0
Cachoeira Paulista,3508603,2023-03-28 10:28,2023-03-29,Sudeste,São Paulo,Brazil,-22.67,-45.02,27.9,14.4,20.2,sim,86,Moderate rain,3.8
Cachoeira Paulista,3508603,2023-03-28 10:28,2023-03-30,Sudeste,São Paulo,Brazil,-22.67,-45.02,28.5,15.4,19.9,sim,87,Heavy rain,4.0
Cachoeira Paulista,3508603,2023-03-28 10:28,2023-03-31,Sudeste,São Paulo,Brazil,-22.67,-45.02,29.7,13.8,19.8,sim,89,Moderate rain,3.8
Cachoeira Paulista,3508603,2023-03-28 10:28,2023-04-01,Sudeste,São Paulo,Brazil,-22.67,-45.02,31.0,14.2,20.5,sim,81,Moderate rain,3.8
Cachoeira Paulista,3508603,2023-03-28 10:28,2023-04-02,Sudeste,São Paulo,Brazil,-22.67,-45.02,22.6,16.2,18.6,sim,88,Heavy rain,5.8
Canas,3509957,2023-03-28 7:28,2023-03-28,Sudeste,São Paulo,Costa Rica,10.43,-85.1,34.3,22.5,27.8,não,0,Sunny,10.3
Canas,3509957,2023-03-28 7:28,2023-03-29,Sudeste,São Paulo,Costa Rica,10.43,-85.1,34.8,22.6,27.3,não,0,Sunny,14.5
Canas,3509957,2023-03-28 7:28,2023-03-30,Sudeste,São Paulo,Costa Rica,10.43,-85.1,36.9,21.8,28.0,não,0,Sunny,14.3
Canas,3509957,2023-03-28 7:28,2023-03-31,Sudeste,São Paulo,Costa Rica,10.43,-85.1,36.7,22.7,28.3,não,0,Sunny,14.8
Canas,3509957,2023-03-28 7:28,2023-04-01,Sudeste,São Paulo,Costa Rica,10.43,-85.1,36.4,21.0,28.0,não,0,Sunny,13.6
Canas,3509957,2023-03-28 7:28,2023-04-02,Sudeste,São Paulo,Costa Rica,10.43,-85.1,35.3,23.3,27.9,não,0,Partly cloudy,13.6
Caraguatatuba,3510500,2023-03-28 10:28,2023-03-28,Sudeste,São Paulo,Brazil,-23.62,-45.42,26.3,22.4,23.9,sim,95,Patchy rain possible,7.8
Caraguatatuba,3510500,2023-03-28 10:28,2023-03-29,Sudeste,São Paulo,Brazil,-23.62,-45.42,28.0,22.0,24.4,sim,87,Moderate rain,7.8
Caraguatatuba,3510500,2023-03-28 10:28,2023-03-30,Sudeste,São Paulo,Brazil,-23.62,-45.42,28.5,22.5,24.9,sim,87,Moderate rain,6.3
Caraguatatuba,3510500,2023-03-28 10:28,2023-03-31,Sudeste,São Paulo,Brazil,-23.62,-45.42,27.8,22.0,24.4,sim,84,Patchy rain possible,4.9
Caraguatatuba,3510500,2023-03-28 10:28,2023-04-01,Sudeste,São Paulo,Brazil,-23.62,-45.42,31.1,22.0,24.9,sim,87,Patchy rain possible,4.9
Caraguatatuba,3510500,2023-03-28 10:28,2023-04-02,Sudeste,São Paulo,Brazil,-23.62,-45.42,22.9,21.3,22.2,sim,83,Moderate rain,9.6
Cunha,3513603,2023-03-28 10:28,2023-03-28,Sudeste,São Paulo,Brazil,-23.08,-44.97,26.6,15.6,20.7,sim,95,Moderate rain,3.1
Cunha,3513603,2023-03-28 10:28,2023-03-29,Sudeste,São Paulo,Brazil,-23.08,-44.97,29.3,16.2,20.8,sim,85,Moderate rain,3.8
Cunha,3513603,2023-03-28 10:28,2023-03-30,Sudeste,São Paulo,Brazil,-23.08,-44.97,28.8,17.6,21.6,sim,86,Heavy rain,4.0
Cunha,3513603,2023-03-28 10:28,2023-03-31,Sudeste,São Paulo,Brazil,-23.08,-44.97,28.3,17.7,21.9,sim,76,Moderate rain,4.0
Cunha,3513603,2023-03-28 10:28,2023-04-01,Sudeste,São Paulo,Brazil,-23.08,-44.97,28.8,18.1,22.3,sim,88,Heavy rain,3.4
Cunha,3513603,2023-03-28 10:28,2023-04-02,Sudeste,São Paulo,Brazil,-23.08,-44.97,21.3,13.9,17.9,não,62,Moderate rain,6.5
Guaratingueta,3518404,2023-03-28 10:28,2023-03-28,Sudeste,São Paulo,Brazil,-22.82,-45.22,27.3,17.4,21.3,sim,96,Moderate rain,3.8
Guaratingueta,3518404,2023-03-28 10:28,2023-03-29,Sudeste,São Paulo,Brazil,-22.82,-45.22,28.4,15.4,20.4,sim,89,Moderate rain,4.0
Guaratingueta,3518404,2023-03-28 10:28,2023-03-30,Sudeste,São Paulo,Brazil,-22.82,-45.22,28.5,16.6,20.4,sim,89,Heavy rain,3.6
Guaratingueta,3518404,2023-03-28 10:28,2023-03-31,Sudeste,São Paulo,Brazil,-22.82,-45.22,29.2,15.1,20.3,sim,89,Moderate rain,3.8
Guaratingueta,3518404,2023-03-28 10:28,2023-04-01,Sudeste,São Paulo,Brazil,-22.82,-45.22,31.0,15.5,21.1,sim,86,Moderate rain,3.6
Guaratingueta,3518404,2023-03-28 10:28,2023-04-02,Sudeste,São Paulo,Brazil,-22.82,-45.22,22.5,15.3,18.6,sim,83,Heavy rain,6.0
Igarata,3520202,2023-03-28 10:28,2023-03-28,Sudeste,São Paulo,Brazil,-23.2,-46.12,26.6,17.7,21.2,sim,94,Patchy rain possible,6.7
Igarata,3520202,2023-03-28 10:28,2023-03-29,Sudeste,São Paulo,Brazil,-23.2,-46.12,28.7,17.2,21.7,sim,89,Heavy rain,3.8
Igarata,3520202,2023-03-28 10:28,2023-03-30,Sudeste,São Paulo,Brazil,-23.2,-46.12,29.0,18.2,22.0,sim,89,Heavy rain,4.9
Igarata,3520202,2023-03-28 10:28,2023-03-31,Sudeste,São Paulo,Brazil,-23.2,-46.12,27.6,17.2,21.5,sim,89,Moderate rain,3.8
Igarata,3520202,2023-03-28 10:28,2023-04-01,Sudeste,São Paulo,Brazil,-23.2,-46.12,28.8,17.1,21.6,sim,89,Heavy rain,8.3
Igarata,3520202,2023-03-28 10:28,2023-04-02,Sudeste,São Paulo,Brazil,-23.2,-46.12,20.5,16.7,18.5,sim,82,Moderate rain,8.3
